interaction_id,customer_id,channel,interaction_type,interaction_date,campaign_id,duration_seconds,outcome,source_system
INT000338,C00215,whatsapp,email_open,2023-05-21 00:00:00,CAM016,1702,not_interested,MC
INT000339,C00306,app,email_open,2023-07-27 00:00:00,CAM018,935,not_interested,MC
INT000340,C00071,phone,call,2024-01-28 00:00:00,CAM002,481,,MC
INT000341,C00295,dealership,visit,2023-04-20 00:00:00,,694,interested,LEGACY
INT000342,C00197,whatsapp,call,2022-08-18 00:00:00,,580,no_response,LEGACY
INT000343,C00217,whatsapp,email_click,2022-01-28 00:00:00,,447,not_interested,SFDC
INT000344,C00096,whatsapp,visit,2024-03-21 00:00:00,,1221,interested,LEGACY
INT000345,C00250,phone,email_open,2022-01-03 00:00:00,,1319,,LEGACY
INT000346,C00276,phone,email_open,2022-06-07 00:00:00,,1684,no_response,LEGACY
INT000347,C00089,dealership,email_open,2022-09-26 00:00:00,,1787,not_interested,MC
INT000348,C00285,app,call,2022-11-04 00:00:00,,1571,,SFDC
INT000349,C00086,phone,email_open,2023-10-18 00:00:00,,839,,SFDC
INT000350,C00251,email,visit,2024-05-04 00:00:00,,348,,MC
INT000351,C00148,phone,chat,2023-10-14 00:00:00,,943,interested,MC
INT000352,C00072,phone,visit,2023-04-29 00:00:00,,504,no_response,SFDC
INT000353,C00096,whatsapp,email_click,2022-05-08 00:00:00,,1524,no_response,SFDC
INT000354,C00162,email,visit,2023-11-01 00:00:00,,1517,no_response,LEGACY
INT000355,C00231,app,email_open,2023-11-13 00:00:00,CAM020,918,not_interested,LEGACY
INT000356,C00028,email,visit,2022-10-22 00:00:00,,784,,LEGACY
INT000357,C00184,app,visit,2023-03-04 00:00:00,,333,no_response,SFDC
INT000358,C00005,dealership,call,2022-07-03 00:00:00,CAM013,-150,not_interested,MC
INT000359,C00249,whatsapp,chat,2023-05-19 00:00:00,CAM002,221,not_interested,LEGACY
INT000360,C00070,dealership,visit,2023-12-06 00:00:00,,1045,no_response,LEGACY
INT000361,C00100,phone,email_click,2023-10-23 00:00:00,,401,not_interested,SFDC
INT000362,C00197,phone,visit,2022-09-08 00:00:00,,970,,MC
INT000363,C00288,whatsapp,chat,2022-01-30 00:00:00,,408,not_interested,LEGACY
INT000364,C00259,dealership,chat,2022-05-03 00:00:00,,1700,no_response,LEGACY
INT000365,C00254,email,chat,2024-02-23 00:00:00,,1796,no_response,MC
INT000366,C00210,dealership,chat,2022-10-11 00:00:00,,390,interested,MC
INT000367,C00252,app,chat,2023-05-20 00:00:00,,416,no_response,MC
INT000368,C00213,phone,call,2022-03-10 00:00:00,,1196,,SFDC
INT000369,C00228,email,chat,2023-09-06 00:00:00,,1034,not_interested,SFDC
INT000370,C00251,phone,call,2024-02-03 00:00:00,CAM018,1523,,LEGACY
INT000371,C00086,dealership,visit,2023-01-06 00:00:00,CAM020,399,,MC
INT000372,C00043,whatsapp,visit,2023-08-19 00:00:00,,1356,interested,LEGACY
INT000373,C00290,email,call,2023-05-08 00:00:00,,607,not_interested,LEGACY
INT000374,C00016,whatsapp,email_open,2023-08-03 00:00:00,,73,,LEGACY
INT000375,C00113,dealership,chat,2023-03-23 00:00:00,,665,no_response,SFDC
INT000376,C00150,app,chat,2022-09-22 00:00:00,,363,no_response,MC
INT000377,C00017,whatsapp,visit,2023-10-06 00:00:00,,393,,SFDC
INT000378,C00141,whatsapp,call,2023-12-04 00:00:00,CAM018,1704,no_response,SFDC
INT000379,C00116,dealership,chat,2023-05-03 00:00:00,CAM001,837,,LEGACY
INT000380,C00276,email,visit,2023-12-12 00:00:00,CAM007,1437,,MC
INT000381,C00148,dealership,chat,2024-04-17 00:00:00,CAM019,1274,,MC
INT000382,C00087,whatsapp,call,2022-05-03 00:00:00,,414,,LEGACY
INT000383,C00235,phone,email_open,2023-01-18 00:00:00,,172,,LEGACY
INT000384,C00290,phone,email_click,2023-06-09 00:00:00,,323,interested,LEGACY
INT000385,C00254,whatsapp,visit,2024-01-21 00:00:00,,177,interested,SFDC
INT000386,C00282,email,visit,2023-08-13 00:00:00,CAM001,903,,LEGACY
INT000387,C00262,whatsapp,email_click,2022-01-18 00:00:00,CAM006,532,interested,SFDC
INT000388,C00058,phone,email_click,2024-05-15 00:00:00,,961,not_interested,MC
INT000389,C00294,app,visit,2022-09-23 00:00:00,,1351,no_response,LEGACY
INT000390,C00059,whatsapp,email_open,2022-06-16 00:00:00,CAM009,854,not_interested,MC
INT000391,C00138,whatsapp,visit,2023-08-19 00:00:00,CAM004,235,no_response,SFDC
INT000392,C00279,app,email_click,2022-03-01 00:00:00,,1513,not_interested,MC
INT000393,C00188,email,chat,2022-05-30 00:00:00,CAM006,1108,no_response,MC
INT000394,C00278,dealership,call,2022-11-24 00:00:00,CAM003,311,interested,LEGACY
INT000395,C00022,phone,chat,2023-04-18 00:00:00,CAM014,1518,,LEGACY
INT000396,C00226,phone,email_open,2023-12-11 00:00:00,,1566,not_interested,SFDC
INT000397,C00280,dealership,visit,2022-05-19 00:00:00,CAM011,1684,,MC
INT000398,C00112,dealership,visit,2023-01-01 00:00:00,CAM002,54,interested,LEGACY
INT000399,C00218,dealership,call,2022-06-17 00:00:00,CAM004,1265,,LEGACY
INT000400,C00053,dealership,chat,2022-02-24 00:00:00,CAM014,234,,SFDC
INT000401,C00127,phone,call,2022-10-07 00:00:00,,803,interested,LEGACY
INT000402,C00153,whatsapp,email_open,2023-01-05 00:00:00,CAM004,816,interested,MC
INT000403,C00017,whatsapp,chat,2023-03-06 00:00:00,CAM008,72,interested,SFDC
INT000404,C00231,app,chat,2023-10-14 00:00:00,,255,no_response,LEGACY
INT000405,C00135,whatsapp,email_open,2022-12-31 00:00:00,,1722,interested,MC
INT000406,C00179,email,visit,2022-02-19 00:00:00,,57,no_response,MC
INT000407,C00045,email,visit,2022-10-24 00:00:00,,1593,interested,SFDC
INT000408,C00225,dealership,email_click,2022-10-26 00:00:00,,1730,no_response,MC
INT000409,C00061,app,visit,2023-06-27 00:00:00,CAM002,1349,,SFDC
INT000410,C00122,phone,call,2023-10-17 00:00:00,CAM018,119,no_response,SFDC
INT000411,C00108,whatsapp,email_open,2022-03-20 00:00:00,,300,interested,MC
INT000412,C00302,whatsapp,visit,2023-06-11 00:00:00,,538,interested,LEGACY
INT000413,C00180,phone,chat,2022-07-18 00:00:00,,1607,interested,SFDC
INT000414,C00313,email,email_open,2024-02-24 00:00:00,CAM001,201,not_interested,MC
INT000415,C00220,dealership,visit,2023-10-06 00:00:00,CAM019,578,not_interested,MC
INT000416,C00085,app,call,2022-07-07 00:00:00,,322,,MC
INT000417,C00072,email,email_click,2024-02-23 00:00:00,CAM018,1314,not_interested,LEGACY
INT000418,C00106,app,email_click,2022-04-07 00:00:00,,1258,not_interested,LEGACY
INT000419,C00106,dealership,email_open,2023-09-06 00:00:00,CAM019,57,not_interested,MC
INT000420,C00031,whatsapp,call,2024-02-10 00:00:00,,1652,no_response,SFDC
INT000421,C00292,dealership,call,2022-06-21 00:00:00,CAM017,49,no_response,SFDC
INT000422,C00180,email,call,2023-07-11 00:00:00,CAM005,1651,interested,SFDC
INT000423,C00273,whatsapp,visit,2022-11-27 00:00:00,,247,,SFDC
INT000424,C00144,dealership,email_click,2022-11-20 00:00:00,,1140,not_interested,LEGACY
INT000425,C00306,whatsapp,call,2024-04-26 00:00:00,,1537,interested,MC
INT000426,C00276,whatsapp,chat,2024-05-15 00:00:00,,1705,interested,SFDC
INT000427,C00087,app,visit,2023-12-03 00:00:00,,723,interested,SFDC
INT000428,C00166,app,chat,2024-03-30 00:00:00,,1776,not_interested,LEGACY
INT000429,C00150,email,chat,2022-11-05 00:00:00,,1478,interested,MC
INT000430,C00149,dealership,email_open,2022-10-05 00:00:00,CAM015,204,interested,LEGACY
INT000431,C00294,phone,visit,2023-12-03 00:00:00,,444,not_interested,LEGACY
INT000432,C00137,dealership,chat,2023-12-16 00:00:00,,315,not_interested,LEGACY
INT000433,C00264,whatsapp,visit,2023-12-06 00:00:00,,1013,interested,MC
INT000434,C00049,email,call,2023-01-07 00:00:00,CAM002,1585,,LEGACY
INT000435,C00070,email,email_open,2022-04-09 00:00:00,,1182,interested,MC
INT000436,C00211,phone,email_click,2023-07-02 00:00:00,,939,,LEGACY
INT000437,C00031,whatsapp,chat,2023-08-17 00:00:00,,1700,,LEGACY
INT000438,C00142,whatsapp,email_open,2022-12-27 00:00:00,,364,interested,MC
INT000439,C00065,email,email_open,2024-04-23 00:00:00,,659,interested,LEGACY
INT000440,C00068,email,email_open,2022-05-28 00:00:00,,709,no_response,MC
INT000441,C00128,phone,email_open,2022-01-14 00:00:00,,1010,,MC
INT000442,C00075,phone,call,2022-05-21 00:00:00,,346,,LEGACY
INT000443,C00165,app,visit,2023-06-15 00:00:00,,529,not_interested,SFDC
INT000444,C00127,email,email_click,2022-10-16 00:00:00,CAM018,144,not_interested,MC
INT000445,C00202,phone,email_click,2023-01-17 00:00:00,,1143,no_response,MC
INT000446,C00251,whatsapp,visit,2024-03-08 00:00:00,CAM013,1447,,MC
INT000447,C00073,app,email_click,2023-05-12 00:00:00,,577,interested,MC
INT000448,C00296,email,email_open,2023-02-26 00:00:00,,1315,,MC
INT000449,C00138,phone,call,2022-12-15 00:00:00,,1143,not_interested,SFDC
INT000450,C00213,email,email_open,2022-06-16 00:00:00,,282,interested,MC
INT000451,C00193,app,email_open,2022-04-15 00:00:00,,73,not_interested,LEGACY
INT000452,C00232,dealership,call,2022-08-12 00:00:00,CAM017,1719,not_interested,MC
INT000453,C00039,email,chat,2022-06-08 00:00:00,,121,not_interested,SFDC
INT000454,C00048,email,email_click,2023-05-31 00:00:00,CAM011,240,not_interested,LEGACY
INT000455,C00207,email,call,2022-08-15 00:00:00,,1145,not_interested,LEGACY
INT000456,C00264,email,visit,2024-05-01 00:00:00,,637,,SFDC
INT000457,C00143,phone,visit,2022-07-12 00:00:00,,240,,LEGACY
INT000458,C00189,dealership,visit,2024-03-25 00:00:00,CAM011,1077,no_response,MC
INT000459,C00233,whatsapp,chat,2023-07-27 00:00:00,CAM015,1743,no_response,MC
INT000460,C00250,email,call,2023-09-21 00:00:00,,880,interested,MC
INT000461,C00168,whatsapp,chat,2023-12-08 00:00:00,CAM005,320,,SFDC
INT000462,C00298,phone,visit,2024-05-01 00:00:00,,32,no_response,LEGACY
INT000463,C00002,dealership,email_open,2023-06-23 00:00:00,CAM016,489,no_response,LEGACY
INT000464,C00048,app,email_open,2024-05-16 00:00:00,CAM001,79,,SFDC
INT000465,C00235,app,chat,2023-06-29 00:00:00,,494,,LEGACY
INT000466,C00184,app,visit,2023-12-31 00:00:00,,904,interested,MC
INT000467,C00033,app,visit,2023-07-19 00:00:00,,819,,LEGACY
INT000468,C00274,app,visit,2023-12-21 00:00:00,,331,,MC
INT000469,C00204,dealership,visit,2024-02-14 00:00:00,,753,,SFDC
INT000470,C00112,email,call,2024-04-01 00:00:00,,1372,not_interested,SFDC
INT000471,C00220,app,chat,2022-04-27 00:00:00,,-25,interested,LEGACY
INT000472,C00109,email,chat,2023-03-04 00:00:00,,492,no_response,LEGACY
INT000473,C00254,whatsapp,call,2023-04-17 00:00:00,CAM001,1431,,MC
INT000474,C00138,email,email_open,2022-03-20 00:00:00,,817,interested,MC
INT000475,C00166,whatsapp,chat,2022-04-30 00:00:00,,1436,,MC
INT000476,C00146,email,email_click,2024-04-18 00:00:00,,1494,interested,MC
INT000477,C00173,whatsapp,chat,2022-05-15 00:00:00,CAM013,1715,no_response,MC
INT000478,C00281,email,chat,2022-01-18 00:00:00,,260,interested,LEGACY
INT000479,C00296,email,email_open,2023-05-07 00:00:00,,1037,,MC
INT000480,C00067,dealership,call,2022-12-23 00:00:00,CAM001,377,interested,SFDC
INT000481,C00290,whatsapp,email_open,2022-11-16 00:00:00,CAM012,255,no_response,SFDC
INT000482,C00249,email,email_open,2023-12-09 00:00:00,,489,not_interested,LEGACY
INT000483,C00176,dealership,call,2023-01-07 00:00:00,,238,,LEGACY
INT000484,C00025,dealership,email_click,2022-05-23 00:00:00,CAM001,607,,SFDC
INT000485,C00024,whatsapp,call,2024-04-16 00:00:00,,761,no_response,LEGACY
INT000486,C00051,email,email_open,2023-03-29 00:00:00,,186,interested,MC
INT000487,C00236,dealership,call,2023-09-04 00:00:00,,1290,not_interested,LEGACY
INT000488,C00009,app,chat,2023-06-20 00:00:00,CAM020,713,no_response,MC
INT000489,C00064,app,chat,2024-02-21 00:00:00,,272,not_interested,MC
INT000490,C00081,app,email_click,2022-12-17 00:00:00,,768,no_response,SFDC
INT000491,C00226,email,email_click,2022-06-26 00:00:00,CAM016,203,,MC
INT000492,C00234,app,call,2023-12-28 00:00:00,,118,interested,LEGACY
INT000493,C00001,phone,call,2022-11-08 00:00:00,CAM016,1268,not_interested,LEGACY
INT000494,C00220,whatsapp,call,2022-01-30 00:00:00,,339,not_interested,MC
INT000495,C00104,phone,visit,2024-02-02 00:00:00,,394,no_response,SFDC
INT000496,C00068,phone,email_open,2024-04-14 00:00:00,CAM007,907,no_response,MC
INT000497,C00155,app,email_open,2022-05-02 00:00:00,,1116,,LEGACY
INT000498,C00082,whatsapp,email_click,2022-08-16 00:00:00,,715,not_interested,SFDC
INT000499,C00141,dealership,chat,2022-05-12 00:00:00,CAM009,1258,no_response,MC
INT000500,C00048,phone,chat,2024-05-27 00:00:00,,401,no_response,LEGACY
INT000501,C00185,dealership,chat,2023-12-12 00:00:00,,1421,,SFDC
INT000502,C00129,dealership,chat,2022-05-26 00:00:00,,900,interested,SFDC
INT000503,C00043,email,email_open,2023-12-06 00:00:00,,337,,MC
INT000504,C00191,whatsapp,visit,2022-08-21 00:00:00,,1396,,SFDC
INT000505,C00085,whatsapp,chat,2022-11-11 00:00:00,,1437,,SFDC
INT000506,C00027,phone,email_click,2022-05-09 00:00:00,,647,not_interested,SFDC
INT000507,C00203,email,call,2022-08-03 00:00:00,CAM005,1309,no_response,LEGACY
INT000508,C00157,email,call,2022-05-14 00:00:00,,1704,not_interested,MC
INT000509,C00120,email,email_click,2022-03-22 00:00:00,CAM019,617,no_response,SFDC
INT000510,C00220,whatsapp,email_click,2023-03-12 00:00:00,,743,no_response,SFDC
INT000511,C00047,whatsapp,email_click,2023-12-09 00:00:00,,242,,LEGACY
INT000512,C00049,app,visit,2024-02-21 00:00:00,,585,interested,MC
INT000513,C00001,whatsapp,call,2024-03-13 00:00:00,CAM001,1052,interested,LEGACY
INT000514,C00110,whatsapp,visit,2022-04-25 00:00:00,,1385,interested,MC
INT000515,C00245,email,chat,2022-03-21 00:00:00,,785,not_interested,MC
INT000516,C00040,dealership,call,2022-01-20 00:00:00,,573,not_interested,SFDC
INT000517,C00068,phone,email_click,2024-03-04 00:00:00,CAM018,1690,interested,MC
INT000518,C00304,dealership,visit,2023-05-11 00:00:00,,1486,interested,LEGACY
INT000519,C00116,phone,email_open,2024-02-15 00:00:00,CAM014,1665,,MC
INT000520,C00266,app,call,2023-03-18 00:00:00,,186,,MC
INT000521,C00228,whatsapp,email_click,2022-02-13 00:00:00,,1645,no_response,MC
INT000522,C00005,phone,email_click,2022-07-21 00:00:00,CAM011,34,not_interested,LEGACY
INT000523,C00005,phone,chat,2022-04-21 00:00:00,,1794,not_interested,SFDC
INT000524,C00176,phone,visit,2022-02-03 00:00:00,,334,interested,LEGACY
INT000525,C00062,phone,chat,2024-03-23 00:00:00,CAM017,1622,not_interested,LEGACY
INT000526,C00217,whatsapp,email_open,2023-11-07 00:00:00,,1373,,LEGACY
INT000527,C00068,dealership,email_open,2023-06-10 00:00:00,,330,,LEGACY
INT000528,C00245,phone,chat,2023-08-31 00:00:00,,685,interested,MC
INT000529,C00037,email,call,2022-03-02 00:00:00,,332,interested,LEGACY
INT000530,C00118,phone,call,2023-04-26 00:00:00,CAM009,829,no_response,LEGACY
INT000531,C00197,whatsapp,chat,2022-05-02 00:00:00,,944,interested,LEGACY
INT000532,C00046,email,chat,2022-09-17 00:00:00,,1507,interested,MC
INT000533,C00053,whatsapp,call,2022-02-14 00:00:00,CAM013,1661,interested,SFDC
INT000534,C00053,app,visit,2022-03-09 00:00:00,CAM003,1638,,MC
INT000535,C00161,whatsapp,chat,2022-11-05 00:00:00,,1009,no_response,MC
INT000536,C00189,email,email_click,2023-11-15 00:00:00,,1698,interested,MC
INT000537,C00154,dealership,visit,2022-01-11 00:00:00,,167,not_interested,MC
INT000538,C00071,email,chat,2024-02-12 00:00:00,CAM014,261,no_response,MC
INT000539,C00196,dealership,email_click,2022-04-09 00:00:00,,1213,interested,SFDC
INT000540,C00069,email,email_click,2024-03-12 00:00:00,,905,,SFDC
INT000541,C00074,phone,chat,2022-05-07 00:00:00,CAM011,1518,,MC
INT000542,C00036,whatsapp,chat,2023-09-09 00:00:00,CAM004,600,not_interested,MC
INT000543,C00272,app,chat,2022-07-30 00:00:00,CAM014,326,not_interested,SFDC
INT000544,C00289,dealership,email_click,2023-08-25 00:00:00,,215,not_interested,LEGACY
INT000545,C00005,dealership,email_open,2022-07-24 00:00:00,,691,no_response,MC
INT000546,C00313,phone,chat,2022-07-09 00:00:00,,291,,MC
INT000547,C00085,phone,chat,2023-11-18 00:00:00,CAM009,402,,LEGACY
INT000548,C00226,email,visit,2022-12-26 00:00:00,CAM016,1601,no_response,SFDC
INT000549,C00180,dealership,chat,2022-01-30 00:00:00,CAM011,818,not_interested,LEGACY
INT000550,C00110,whatsapp,visit,2022-04-03 00:00:00,,752,not_interested,SFDC
INT000551,C00078,email,visit,2022-05-30 00:00:00,,683,not_interested,MC
INT000552,C00211,phone,email_open,2024-05-16 00:00:00,,1042,,LEGACY
INT000553,C00227,dealership,chat,2024-02-04 00:00:00,CAM003,898,not_interested,LEGACY
INT000554,C00112,app,email_open,2022-10-12 00:00:00,,1015,interested,MC
INT000555,C00045,app,email_click,2023-08-17 00:00:00,,1450,interested,MC
INT000556,C00052,dealership,email_open,2022-12-23 00:00:00,,877,interested,MC
INT000557,C00072,whatsapp,call,2022-12-27 00:00:00,,1262,not_interested,SFDC
INT000558,C00064,dealership,call,2022-06-14 00:00:00,,1655,interested,LEGACY
INT000559,C00302,whatsapp,call,2024-05-25 00:00:00,CAM002,1333,not_interested,SFDC
INT000560,C00197,phone,visit,2023-05-28 00:00:00,,712,interested,LEGACY
INT000561,C00180,whatsapp,call,2024-03-10 00:00:00,,313,no_response,SFDC
INT000562,C00220,whatsapp,email_open,2024-01-17 00:00:00,,1672,,SFDC
INT000563,C00162,dealership,chat,2023-09-20 00:00:00,,1369,interested,LEGACY
INT000564,C00072,dealership,visit,2022-09-05 00:00:00,,533,no_response,LEGACY
INT000565,C00127,app,visit,2023-06-02 00:00:00,CAM015,814,not_interested,LEGACY
INT000566,C00142,phone,call,2023-08-07 00:00:00,CAM020,887,,SFDC
INT000567,C00044,email,email_click,2022-03-11 00:00:00,,1155,not_interested,LEGACY
INT000568,C00128,dealership,email_click,2022-04-12 00:00:00,CAM002,1048,not_interested,LEGACY
INT000569,C00284,phone,chat,2024-04-19 00:00:00,,1133,,LEGACY
INT000570,C00308,phone,email_open,2023-08-16 00:00:00,CAM013,1123,no_response,MC
INT000571,C00308,app,call,2024-02-21 00:00:00,,1038,no_response,SFDC
INT000572,C00312,dealership,email_open,2022-01-15 00:00:00,,1120,not_interested,MC
INT000573,C00146,dealership,email_click,2023-06-26 00:00:00,,1128,interested,LEGACY
INT000574,C00014,phone,email_click,2022-08-11 00:00:00,,1712,,SFDC
INT000575,C00155,dealership,call,2024-01-03 00:00:00,,501,,SFDC
INT000576,C00106,app,email_click,2022-07-16 00:00:00,,817,,LEGACY
INT000577,C00266,app,email_click,2022-10-16 00:00:00,,201,interested,LEGACY
INT000578,C00311,app,chat,2022-06-25 00:00:00,,1219,interested,MC
INT000579,C00261,dealership,chat,2024-02-12 00:00:00,,1494,not_interested,LEGACY
INT000580,C00097,dealership,email_click,2023-07-05 00:00:00,,893,no_response,SFDC
INT000581,C00201,app,call,2022-01-05 00:00:00,CAM001,1109,interested,MC
INT000582,C00152,whatsapp,call,2024-01-13 00:00:00,,1213,interested,SFDC
INT000583,C00028,email,email_click,2022-04-12 00:00:00,CAM007,1620,,LEGACY
INT000584,C00123,phone,email_click,2022-08-08 00:00:00,CAM001,1450,not_interested,LEGACY
INT000585,C00254,whatsapp,visit,2023-06-01 00:00:00,,1691,interested,LEGACY
INT000586,C00198,email,chat,2024-05-21 00:00:00,CAM007,1562,no_response,MC
INT000587,C00058,dealership,chat,2023-12-26 00:00:00,,479,interested,LEGACY
INT000588,C00124,phone,call,2023-05-02 00:00:00,CAM017,1469,not_interested,LEGACY
INT000589,C00256,whatsapp,email_open,2023-01-11 00:00:00,CAM014,208,no_response,SFDC
INT000590,C00305,phone,email_open,2023-12-16 00:00:00,,511,no_response,SFDC
INT000591,C00037,dealership,email_click,2023-08-27 00:00:00,,770,,MC
INT000592,C00271,email,email_click,2022-07-09 00:00:00,CAM005,35,no_response,MC
INT000593,C00007,email,visit,2023-03-27 00:00:00,,446,interested,LEGACY
INT000594,C00185,email,visit,2023-11-21 00:00:00,CAM010,1772,not_interested,SFDC
INT000595,C00163,whatsapp,call,2022-04-20 00:00:00,,65,no_response,SFDC
INT000596,C00068,email,email_open,2022-07-05 00:00:00,,772,interested,MC
INT000597,C00199,whatsapp,visit,2024-05-04 00:00:00,,1173,not_interested,LEGACY
INT000598,C00292,whatsapp,email_open,2022-12-30 00:00:00,,1000,no_response,SFDC
INT000599,C00216,app,visit,2023-01-24 00:00:00,,303,,MC
INT000600,C00188,whatsapp,chat,2023-03-11 00:00:00,,255,interested,SFDC
INT000601,C00280,phone,email_click,2022-08-08 00:00:00,CAM016,152,interested,MC
INT000602,C00089,email,visit,2023-06-11 00:00:00,CAM011,745,,SFDC
INT000603,C00242,whatsapp,visit,2022-08-22 00:00:00,CAM001,769,no_response,SFDC
INT000604,C00038,dealership,call,2023-02-22 00:00:00,,1768,interested,SFDC
INT000605,C00009,whatsapp,chat,2022-04-26 00:00:00,,1769,interested,LEGACY
INT000606,C00301,whatsapp,email_click,2024-02-19 00:00:00,CAM008,1624,no_response,MC
INT000607,C00035,app,chat,2022-11-18 00:00:00,,1707,,MC
INT000608,C00008,phone,email_click,2022-05-07 00:00:00,,315,no_response,SFDC
INT000609,C00135,dealership,chat,2023-04-23 00:00:00,,633,not_interested,LEGACY
INT000610,C00111,app,chat,2022-04-23 00:00:00,,972,no_response,LEGACY
INT000611,C00021,phone,call,2023-06-17 00:00:00,CAM007,325,interested,MC
INT000612,C00031,whatsapp,email_open,2022-05-20 00:00:00,,1740,not_interested,SFDC
INT000613,C00204,dealership,chat,2023-05-23 00:00:00,CAM003,1777,not_interested,SFDC
INT000614,C00260,phone,email_click,2024-02-20 00:00:00,CAM016,1159,no_response,MC
INT000615,C00147,app,email_click,2023-01-05 00:00:00,,892,interested,LEGACY
INT000616,C00257,whatsapp,call,2023-12-23 00:00:00,,526,not_interested,LEGACY
INT000617,C00213,whatsapp,email_open,2022-10-23 00:00:00,,461,,SFDC
INT000618,C00217,email,email_click,2023-07-25 00:00:00,CAM019,1725,interested,LEGACY
INT000619,C00206,app,call,2024-01-10 00:00:00,,489,interested,MC
INT000620,C00043,dealership,email_click,2022-02-11 00:00:00,CAM010,144,no_response,SFDC
INT000621,C00275,whatsapp,visit,2022-03-26 00:00:00,,1559,interested,SFDC
INT000622,C00276,email,chat,2022-12-02 00:00:00,CAM015,312,,MC
INT000623,C00079,phone,email_open,2023-05-21 00:00:00,,270,interested,LEGACY
INT000624,C00143,whatsapp,chat,2022-04-29 00:00:00,,1454,,SFDC
INT000625,C00043,phone,chat,2023-01-30 00:00:00,,1471,not_interested,SFDC
INT000626,C00159,whatsapp,visit,2022-10-18 00:00:00,,323,no_response,LEGACY
INT000627,C00041,phone,email_open,2023-04-13 00:00:00,,803,interested,SFDC
INT000628,C00262,app,chat,2023-09-07 00:00:00,,1531,interested,LEGACY
INT000629,C00105,phone,call,2024-01-24 00:00:00,,83,interested,LEGACY
INT000630,C00080,phone,email_click,2022-11-16 00:00:00,CAM016,1455,,MC
INT000631,C00275,whatsapp,email_click,2023-12-05 00:00:00,,-181,not_interested,LEGACY
INT000632,C00168,whatsapp,call,2024-05-11 00:00:00,,791,no_response,MC
INT000633,C00201,phone,email_click,2023-03-31 00:00:00,CAM013,140,,MC
INT000634,C00301,app,visit,2022-08-20 00:00:00,CAM006,1466,,SFDC
INT000635,C00034,dealership,call,2023-07-22 00:00:00,,247,no_response,MC
INT000636,C00159,email,visit,2023-02-22 00:00:00,CAM001,1387,not_interested,MC
INT000637,C00224,phone,email_open,2022-10-25 00:00:00,CAM001,1221,interested,LEGACY
INT000638,C00123,app,email_click,2024-05-25 00:00:00,,181,interested,LEGACY
INT000639,C00030,phone,visit,2023-03-15 00:00:00,CAM015,1006,interested,SFDC
INT000640,C00126,email,email_click,2022-07-13 00:00:00,CAM019,1745,not_interested,LEGACY
INT000641,C00045,dealership,email_open,2024-05-27 00:00:00,,1246,,LEGACY
INT000642,C00223,dealership,chat,2022-03-13 00:00:00,,353,interested,LEGACY
INT000643,C00060,phone,email_click,2024-05-11 00:00:00,,91,,LEGACY
INT000644,C00233,email,email_open,2024-04-01 00:00:00,CAM010,330,interested,LEGACY
INT000645,C00314,phone,call,2023-05-03 00:00:00,CAM009,778,,SFDC
INT000646,C00312,whatsapp,email_click,2023-11-27 00:00:00,,319,,MC
INT000647,C00029,dealership,call,2023-01-12 00:00:00,CAM018,191,not_interested,MC
INT000648,C00159,app,email_open,2022-07-03 00:00:00,CAM007,531,,LEGACY
INT000649,C00090,app,call,2022-01-14 00:00:00,CAM009,187,,SFDC
INT000650,C00062,app,visit,2023-11-22 00:00:00,,55,not_interested,MC
INT000651,C00007,email,chat,2023-05-19 00:00:00,CAM005,1195,interested,MC
INT000652,C00071,email,call,2023-11-20 00:00:00,,1732,,LEGACY
INT000653,C00006,dealership,visit,2022-04-18 00:00:00,,1696,interested,SFDC
INT000654,C00084,email,chat,2023-02-10 00:00:00,CAM007,882,no_response,MC
INT000655,C00255,whatsapp,email_open,2023-03-25 00:00:00,CAM008,336,no_response,MC
INT000656,C00178,dealership,email_open,2023-06-20 00:00:00,,1597,not_interested,LEGACY
INT000657,C00268,dealership,email_click,2023-11-06 00:00:00,,403,no_response,LEGACY
INT000658,C00265,whatsapp,visit,2023-11-24 00:00:00,CAM017,992,,LEGACY
INT000659,C00133,whatsapp,chat,2022-03-29 00:00:00,,1552,interested,LEGACY
INT000660,C00086,whatsapp,email_click,2022-05-03 00:00:00,,316,not_interested,MC
INT000661,C00191,phone,email_click,2022-05-27 00:00:00,,1562,not_interested,MC
INT000662,C00065,app,email_open,2023-02-09 00:00:00,,1110,interested,SFDC
INT000663,C00138,app,call,2023-02-15 00:00:00,CAM005,1460,interested,SFDC
INT000664,C00061,dealership,chat,2023-12-13 00:00:00,,643,not_interested,SFDC
INT000665,C00016,whatsapp,email_open,2023-08-28 00:00:00,CAM007,992,,MC
INT000666,C00172,email,email_open,2022-04-15 00:00:00,CAM013,872,interested,LEGACY
INT000667,C00220,whatsapp,call,2024-01-30 00:00:00,,1509,interested,SFDC
INT000668,C00140,dealership,visit,2022-06-22 00:00:00,CAM014,720,not_interested,LEGACY
INT000669,C00269,app,visit,2022-03-08 00:00:00,,939,interested,SFDC
INT000670,C00033,phone,chat,2023-01-08 00:00:00,CAM002,1630,interested,MC
INT000671,C00135,whatsapp,call,2022-07-23 00:00:00,,1350,interested,MC
INT000672,C00296,app,call,2022-12-13 00:00:00,,1453,not_interested,LEGACY
INT000673,C00040,dealership,email_click,2022-07-25 00:00:00,,57,,MC
INT000674,C00255,dealership,call,2023-09-02 00:00:00,CAM005,617,not_interested,SFDC
